Hour,1,2,3,4,5,6,7
1,18.3605236,124.0400774,45.7958299,114.0650839,114.0650839,114.0650839,0
2,10.5834099,71.28792303,25.7473262,70.39602193,70.39602193,70.39602193,0
3,9.6084542,64.1142263,22.91270321,64.68044639,64.68044639,64.68044639,0
4,8.290163,54.29756719,19.27194439,55.90929097,55.90929097,55.90929097,0
5,5.9633544,38.49512707,13.34287657,41.95470691,41.95470691,41.95470691,0
6,6.9408184,44.56256315,15.62843286,46.49492363,46.49492363,46.49492363,0
7,8.4254588,53.22747309,18.97280489,52.9143493,52.9143493,52.9143493,0
8,11.1546439,69.29782877,24.98108483,65.59007181,65.59007181,65.59007181,0
9,16.2449691,98.63385679,35.39216125,88.83279906,88.83279906,88.83279906,0
10,25.8347637,153.539662,55.3865257,131.2030497,131.2030497,131.2030497,0
11,34.0447714,201.7477155,72.28496118,168.6696969,168.6696969,168.6696969,0
12,42.800434,259.4931658,93.1020803,214.931931,214.931931,214.931931,0
13,52.8822035,324.3492777,116.2148411,267.9576215,267.9576215,267.9576215,0
14,54.9225572,337.6622048,120.7382009,279.7047401,279.7047401,279.7047401,0
15,58.0834801,354.7217738,126.2207419,296.4292467,296.4292467,296.4292467,0
16,60.8247324,365.8943746,130.6317914,310.5213573,310.5213573,310.5213573,0
17,63.7879392,387.5402709,139.5853469,332.4684493,332.4684493,332.4684493,0
18,61.6481831,364.0237008,130.9402807,305.7677149,305.7677149,305.7677149,0
19,77.0344082,470.9745981,173.9760146,391.6581591,391.6581591,391.6581591,0
20,75.2164659,467.8672955,173.4622306,390.8068986,390.8068986,390.8068986,0
21,64.6830143,407.6383496,150.8141908,340.5527348,340.5527348,340.5527348,0
22,55.1050073,354.4327798,130.9467761,298.076925,298.076925,298.076925,0
23,44.1967645,287.1767281,106.0247984,246.3647573,246.3647573,246.3647573,0
24,31.5379374,205.1268677,75.8454096,182.5979473,182.5979473,182.5979473,0
25,10.5996326,71.00863537,25.5630039,68.95400795,68.95400795,68.95400795,0
