Time_index,Nuclear,Hydro_Res_1,Hydro_RoR_1,PV_1_0,Wind_1_0,Wind_1_1,Wind_1_2,Nuclear,Hydro_Res_2,Hydro_RoR_2,PV_2_0,Wind_2_0,Wind_2_1,Wind_2_2,Nuclear,Hydro_Res_3,Hydro_RoR_3,PV_3_0,Wind_3_0,Wind_3_1,Wind_3_2,Nuclear,PV_4_0,Wind_4_0,Wind_4_1,Wind_4_2,Nuclear,Hydro_Res_5,Hydro_RoR_5,PV_5_0,Wind_5_0,Wind_5_1,Wind_5_2,Nuclear,Hydro_Res_6,Hydro_RoR_6,PV_6_0,Wind_6_0,Wind_6_1,Wind_6_2,Hydro_Can,CCGT,CCGT,CCGT,CCGT,CCGT,CCGT,OCGT_F,OCGT_F,OCGT_F,OCGT_F,OCGT_F,OCGT_F,CCGT_CCS,CCGT_CCS,CCGT_CCS,CCGT_CCS,CCGT_CCS,CCGT_CCS,Wind_offshore_2,Wind_offshore_4,PHS_1,PHS_2,PHS_3,PHS_5,PHS_6,Storage_bat,Storage_bat,Storage_bat,Storage_bat,Storage_bat,Storage_bat
1,1,0.3814933143446813,0.6532035225490526,0.0,0.7190597568091001,0.5844561891075245,0.3618364414472657,1,0.6052731209280153,0.5011370749774583,0.0,0.6140849578586423,0.3622596557363742,0.11946875128846984,1,0.589537054684646,0.6062614829396328,0.0,0.4967144822990939,0.3346974210595585,0.12151139913488472,1,0.0,0.3568410419585254,0.40053880357762056,0.3342672862564163,1,0.5982225571188349,0.5173782631237108,0.0,0.4295222915101584,0.2522094756507774,0.19592305941123514,1,0.7138874646574104,0.4116105403842905,0.0,0.4825114891726324,0.40985212612747896,0.15923548128017245,0.4158445128256779,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.11116327660816336,0.012345488811128907,1,1,1,1,1,1,1,1,1,1,1
2,1,0.3814933143446813,0.6532035225490526,0.0,0.7118777638708036,0.5937464476129255,0.3794591941780103,1,0.6052731209280153,0.5011370749774583,0.0,0.6194914604589543,0.3624537194194368,0.11868102681094375,1,0.589537054684646,0.6062614829396328,0.0,0.5428715364534265,0.3664919483879933,0.15607742639036445,1,0.0,0.51067566292137,0.5438275806169653,0.4769401754831895,1,0.5982225571188349,0.5173782631237108,0.0,0.41620697946881335,0.23393446389977626,0.1894013955637064,1,0.7138874646574104,0.4116105403842905,0.0,0.5027975551519287,0.40370393263571336,0.15591622745688605,0.4158445128256779,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1533338720118061,0.026368721838502352,1,1,1,1,1,1,1,1,1,1,1
3,1,0.3814933143446813,0.6532035225490526,0.0,0.7098443166050807,0.6073546199358026,0.3958383242895416,1,0.6052731209280153,0.5011370749774583,0.0,0.6298066361310792,0.35823827854412504,0.11165043549647567,1,0.589537054684646,0.6062614829396328,0.0,0.5699172139016334,0.3940016404126948,0.14844718477853086,1,0.0,0.5866117158719343,0.6297006415463982,0.5196675845696329,1,0.5982225571188349,0.5173782631237108,0.0,0.4152186668208005,0.2243165133520444,0.1737956163625709,1,0.7138874646574104,0.4116105403842905,0.0,0.5236356381833933,0.4092291191374451,0.16099136607393755,0.4158445128256779,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2309288028239797,0.03618153410188288,1,1,1,1,1,1,1,1,1,1,1
4,1,0.3814933143446813,0.6532035225490526,0.0,0.7124636892165883,0.6206506937213526,0.40455669889996304,1,0.6052731209280153,0.5011370749774583,0.0,0.6227446333363915,0.3610287906114588,0.10528401232580142,1,0.589537054684646,0.6062614829396328,0.0,0.5624126070972082,0.3924179811003913,0.11571856584213938,1,0.0,0.6624504652746046,0.6744432758746308,0.5804733443258449,1,0.5982225571188349,0.5173782631237108,0.0,0.4001739757107159,0.21264407727285872,0.15683328740945549,1,0.7138874646574104,0.4116105403842905,0.0,0.5283992163705745,0.4090674866245561,0.16704735818686914,0.4158445128256779,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3204627474480859,0.062200720502239036,1,1,1,1,1,1,1,1,1,1,1
5,1,0.3814933143446813,0.6532035225490526,0.0,0.7263701685247724,0.6355165269322238,0.4313940005108036,1,0.6052731209280153,0.5011370749774583,0.0,0.6205715280368879,0.3569569937115249,0.10497213028801043,1,0.589537054684646,0.6062614829396328,0.0,0.5096170730683441,0.3428830931450136,0.09631660098332076,1,0.0,0.6363414131406017,0.6313922377384951,0.5469037513481552,1,0.5982225571188349,0.5173782631237108,0.0,0.4077961812041863,0.2085383557161292,0.15283254438290989,1,0.7138874646574104,0.4116105403842905,0.0,0.528665546836489,0.4068959374519116,0.16026837627605495,0.4158445128256779,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4035517543332674,0.08910590220967703,1,1,1,1,1,1,1,1,1,1,1
6,1,0.3814933143446813,0.6532035225490526,0.01,0.7382799222672216,0.6431144701684333,0.4458365654106769,1,0.6052731209280153,0.5011370749774583,0.0,0.6210961389754708,0.3471726825315705,0.1038718079257846,1,0.589537054684646,0.6062614829396328,0.0,0.5259575585755002,0.3645026686339856,0.0984512970916643,1,0.0,0.5806655691738554,0.5755983579008652,0.5066506841823026,1,0.5982225571188349,0.5173782631237108,0.0,0.4154068167533919,0.20874886243303087,0.1487199403998431,1,0.7138874646574104,0.4116105403842905,0.0,0.5224188413499682,0.4019112747546413,0.15766858216144425,0.4158445128256779,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4669158829973548,0.12411344965210178,1,1,1,1,1,1,1,1,1,1,1
7,1,0.3814933143446813,0.6532035225490526,0.20743652542816965,0.7419016772200009,0.6519072861067519,0.4764890879242033,1,0.6052731209280153,0.5011370749774583,0.16321616598956967,0.6162054908801949,0.3455400775201993,0.11511037836628292,1,0.589537054684646,0.6062614829396328,0.16407615151099714,0.5521168723424053,0.38659607853782496,0.11246251020544283,1,0.16515166847240953,0.555031191796107,0.4995098375901557,0.4128781229608725,1,0.5982225571188349,0.5173782631237108,0.12843437595423374,0.4237064810266349,0.1981672781230675,0.12954104221844015,1,0.7138874646574104,0.4116105403842905,0.08744747633691857,0.510800605593295,0.3903165147924253,0.1479553468934811,0.4158445128256779,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5154313960417848,0.14400431862383695,1,1,1,1,1,1,1,1,1,1,1
8,1,0.3814933143446813,0.6532035225490526,0.6295004983368228,0.7409352461837372,0.6528203063784894,0.4827257651340346,1,0.6052731209280153,0.5011370749774583,0.6050895434243574,0.5982300504825295,0.34246989101357384,0.1260785274084903,1,0.589537054684646,0.6062614829396328,0.6152522734966757,0.5453521882810045,0.36352996403404014,0.1111964872919332,1,0.6151147054715387,0.4876751297299909,0.4585556286339523,0.34531627972437245,1,0.5982225571188349,0.5173782631237108,0.5723625273800563,0.40367468527730577,0.18538986322792653,0.13223863377868358,1,0.7138874646574104,0.4116105403842905,0.5140232123295649,0.4936224249485866,0.38805506360208,0.15188884802556735,0.4158445128256779,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.519155374739621,0.15966756526238118,1,1,1,1,1,1,1,1,1,1,1
9,1,0.3814933143446813,0.6532035225490526,0.7341124487297188,0.6521478296798623,0.5966745106160877,0.4820342085794704,1,0.6052731209280153,0.5011370749774583,0.7614116810032104,0.4826247792748827,0.2612599349224496,0.11196287193806498,1,0.589537054684646,0.6062614829396328,0.7684612066029118,0.3913764158690078,0.2442936840197414,0.08476175940144308,1,0.7738608232527326,0.23765512213471365,0.22016042134703245,0.14503214578691498,1,0.5982225571188349,0.5173782631237108,0.7712437115507377,0.3483839972223258,0.13613039199420687,0.08389526808581174,1,0.7138874646574104,0.4116105403842905,0.7703103766400249,0.4208728661032039,0.2949491763263324,0.11460541151680413,0.4158445128256779,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5059362314697147,0.1763065229063433,1,1,1,1,1,1,1,1,1,1,1
10,1,0.3814933143446813,0.6532035225490526,0.6988439973507491,0.5046634105869994,0.4855532608528124,0.4341980356191744,1,0.6052731209280153,0.5011370749774583,0.7365100691313511,0.3311153669479653,0.16577914374350333,0.09673717105342594,1,0.589537054684646,0.6062614829396328,0.7474879308948954,0.17427445518364,0.07169975639975018,0.0217407377052862,1,0.7632391095119823,0.15215309552853745,0.15383579823462956,0.014677208337349309,1,0.5982225571188349,0.5173782631237108,0.7531813229011011,0.2104505636787596,0.051602864172891866,0.03226599187874074,1,0.7138874646574104,0.4116105403842905,0.7602338971654026,0.21095029568764653,0.12053225488590025,0.04640431233176233,0.4158445128256779,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4482395948656558,0.1681888545364993,1,1,1,1,1,1,1,1,1,1,1
