Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Subperiods,Hours_per_period,Sub_Weights
20000.0,1.0,1.0,1.0,1,1336.656232,9404.225464,3420.869825,7655.558423096159,3124.706485467077,5778.646581436772,0.0,30.0,168.0,168.0
,,,,2,1254.499904,8740.491313999999,3177.116596000001,7229.456695721897,2950.788038580403,5457.012135697705,0.0,,,168.0
,,,,3,1196.176368,8235.571209,2975.522621,6837.894347415,2790.9672467322166,5161.449055852789,0.0,,,168.0
,,,,4,1165.8960859999995,7944.544134999999,2856.213541,6556.81665274706,2676.2420696896993,4949.283127563245,0.0,,,168.0
,,,,5,1149.7657209999998,7803.3856730000025,2798.612239,6387.400185658573,2607.0927399870825,4821.40246435435,0.0,,,168.0
,,,,6,1149.724974,7758.380129000001,2778.043173,6298.084500916607,2570.637489573843,4753.9842895095535,0.0,,,168.0
,,,,7,1161.647962,7814.754355000001,2795.52675,6280.543617589898,2563.4779711086153,4740.743901301495,0.0,,,168.0
,,,,8,1204.573491,8030.51692,2875.754974,6375.061365072512,2602.0565047998543,4812.088750127639,0.0,,,495.2601156069363
,,,,9,1275.1176580000001,8392.989333,3025.918206000001,6588.5633677411715,2689.1998659407336,4973.2465063181,0.0,,,168.0
,,,,10,1370.22806,8816.118318,3197.682417,6823.956565747191,2785.2783767160163,5150.928397536798,0.0,,,627.3294797687861
,,,,11,1478.3870279999999,9375.760362,3464.071614,7215.218903695622,2944.976715797075,5446.265020507307,0.0,,,313.66473988439304
,,,,12,1517.572774,9769.238836,3622.462487,7550.900527070042,3081.98913052122,5699.647642408744,0.0,,,168.0
,,,,13,1530.550865,9954.341057,3672.861543,7747.667997066171,3162.302094729152,5848.173668204683,0.0,,,693.3641618497109
,,,,14,1522.139551,10033.118957,3687.2649619999997,7851.9214995452385,3204.8543916780213,5926.867358776745,0.0,,,168.0
,,,,15,1494.5795779999999,10015.471665000001,3666.695609,7867.260779704331,3211.1152998373664,5938.445910458308,0.0,,,429.22543352601167
,,,,16,1455.1015490000002,9894.683298,3616.293967,7823.715024210955,3193.341586009488,5905.576259779566,0.0,,,396.20809248554906
,,,,17,1430.671113,9802.972016000003,3578.23685,7775.798429585071,3173.7838626254834,5869.407367789452,0.0,,,429.22543352601167
,,,,18,1436.536775,9869.751068,3598.806602,7773.2313419374195,3172.736075517338,5867.469652545246,0.0,,,168.0
,,,,19,1521.938958,10276.685737000002,3754.117337,7951.289380586059,3245.412564599624,6001.8732348143185,0.0,,,478.7514450867052
,,,,20,1658.155405,11167.255613,4122.3286210000015,8459.981973508173,3453.0414476106093,6385.849758881225,0.0,,,445.7341040462428
,,,,21,1614.3075680000006,10990.465320000001,4124.380782,8704.033160148607,3552.653818588098,6570.066961263303,0.0,,,168.0
,,,,22,1525.99526,10457.716294,3935.139903,8451.766284247858,3449.688117115888,6379.648308636259,0.0,,,247.63005780346816
